gutenberg_id,text
5314, 107 The Two Travellers (Die beiden Wanderer)
5314, 108 Hans the Hedgehog (Hans mein Igel)
5314, 109 The Shroud (Das Totenhemdchen)
5314, 110 The Jew among Thorns (Der Jude im Dorn)
5314, 111 The Skilful Huntsman (Der gelernte Jäger)
5314, 112 The Flail from Heaven (Der Dreschflegel vom Himmel)
5314, 113 The Two Kings’ Children (De beiden Künigeskinner)
5314, 114 The Cunning Little Tailor (Vom klugen Schneiderlein)
5314, 115 The Bright Sun Brings It to Light (Die klare Sonne bringt’s an den Tag)
5314, 116 The Blue Light (Das blaue Licht)
5314, 117 The Wilful Child (Das eigensinnige Kind)
5314, 118 The Three Army Surgeons (Die drei Feldscherer)
5314, 119 The Seven Swabians (Die sieben Schwaben)
5314, 120 The Three Apprentices (Die drei Handwerksburschen)
5314," 121 The King’s Son Who Feared Nothing (Der Königssohn, der sich vor nichts fürchtet)"
5314, 122 Donkey Cabbages (Der Krautesel)
5314, 123 The Old Woman in the Wood (Die Alte im Wald)
5314, 124 The Three Brothers (Die drei Brüder)
5314, 125 The Devil and His Grandmother (Der Teufel und seine Großmutter)
5314, 126 Ferdinand the Faithful (Ferenand getrü un Ferenand ungetrü)
5314, 127 The Iron Stove (Der Eisenofen)
5314, 128 The Lazy Spinner (Die faule Spinnerin)
5314, 129 The Four Skilful Brothers (Die vier kunstreichen Brüder)
5314," 130 One-Eye, Two-Eyes, and Three-Eyes (Einäuglein, Zweiäuglein und Dreiäuglein)"
5314, 131 Fair Katrinelje and Pif Paf Poltrie (Die schöne Katrinelje und Pif Paf Poltrie)
5314, 132 The Fox and the Horse (Der Fuchs und das Pferd)
5314, 133 The Shoes that Were Danced to Pieces (Die zertanzten Schuhe)
5314, 134 The Six Servants (Die sechs Diener)
5314, 135 The White Bride and the Black One (Die weiße und die schwarze Braut)
5314, 136 Iron John (Der Eisenhans)
5314, 137 The Three Black Princesses (De drei schwatten Prinzessinnen)
5314, 138 Knoist and His Three Sons (Knoist un sine dre Sühne)
5314, 139 The Maid of Brakel (Dat Mäken von Brakel)
5314, 140 Domestic Servants (Das Hausgesinde)
5314, 141 The Lambkin and the Little Fish (Das Lämmchen und Fischchen)
5314, 142 Simeli Mountain (Simeliberg)
5314, 143 Going A-Travelling (Up Reisen gohn)
5314, 144 The Donkey (Das Eselein)
5314, 145 The Ungrateful Son (Der undankbare Sohn)
5314, 146 The Turnip (Die Rübe)
5314, 147 The Old Man Made Young Again (Das junggeglühte Männlein)
5314, 148 The Lord’s Animals and the Devil’s (Des Herrn und des Teufels Getier)
5314, 149 The Beam (Der Hahnenbalken)
5314, 150 The Old Beggar-Woman (Die alte Bettelfrau)
5314, 151 The Three Sluggards (Die drei Faulen)
5314, 151* The Twelve Idle Servants (Die zwölf faulen Knechte)
5314, 152 The Shepherd Boy (Das Hirtenbüblein)
5314, 153 The Star-Money (Die Sterntaler)
5314, 154 The Stolen Farthings (Der gestohlene Heller)
5314, 155 Brides on their Trial (Die Brautschau)
5314, 156 Odds and Ends (Die Schlickerlinge)
5314, 157 The Sparrow and His Four Children (Der Sperling und seine vier Kinder)
5314, 158 The Story of Schlauraffen Land [The Tale of Cockaigne] (Das Märchen vom Schlauraffenland)
5314, 159 The Ditmarsh Tale of Wonders (Das Diethmarsische Lügenmärchen)
5314, 160 A Riddling Tale (Rätselmärchen)
5314, 161 Snow-White and Rose-Red (Schneeweißchen und Rosenrot)
5314, 162 The Wise Servant (Der kluge Knecht)
5314, 163 The Glass Coffin (Der gläserne Sarg)
5314, 164 Lazy Harry (Der faule Heinz)
5314, 165 The Griffin (Der Vogel Greif)
5314, 166 Strong Hans (Der starke Hans)
5314, 167 The Peasant in Heaven (Das Bürle im Himmel)
5314, 168 Lean Lisa (Die hagere Liese)
5314, 169 The Hut in the Forest (Das Waldhaus)
5314, 170 Sharing Joy and Sorrow (Lieb und Leid teilen)
5314, 171 The Willow-Wren (Der Zaunkönig)
5314, 172 The Sole [The Flounder] (Die Scholle)
5314, 173 The Bittern and Hoopoe (Rohrdommel und Wiedehopf)
5314, 174 The Owl (Die Eule)
5314, 175 The Moon (Der Mond)
5314, 176 The Duration of Life (Die Lebenszeit)
5314, 177 Death’s Messengers (Die Boten des Todes)
5314, 178 Master Pfriem (Meister Pfriem)
5314, 179 The Goose-Girl at the Well (Die Gänsehirtin am Brunnen)
5314, 180 Eve’s Various Children (Die ungleichen Kinder Evas)
5314, 181 The Nixie of the Mill-Pond (Die Nixe im Teich)
5314, 182 The Little Folks’ Presents (Die Geschenke des kleinen Volkes)
5314, 183 The Giant and the Tailor (Der Riese und der Schneider)
5314, 184 The Nail (Der Nagel)
5314, 185 The Poor Boy in the Grave (Der arme Junge im Grab)
5314, 186 The True Sweetheart [The True Bride] (Die wahre Braut)
5314, 187 The Hare and the Hedgehog (Der Hase und der Igel)
5314," 188 The Spindle, the Shuttle, and the Needle (Spindel, Weberschiffchen und Nadel)"
5314, 189 The Peasant and the Devil (Der Bauer und der Teufel)
5314, 190 The Crumbs on the Table (Die Brosamen auf dem Tisch)
